Crypto,Datetime,Open,High,Low,Close,Volume,Bid-Ask Spread,Gold,US Dollar Index
BTC-USD,2025-02-25 06:00:00+00:00,92037.7734375,92037.7734375,91227.8203125,91227.8203125,0,0.00999999999476131,N/A,N/A
BTC-USD,2025-02-25 07:00:00+00:00,91268.578125,91319.7578125,88355.9453125,89398.484375,7821660160,0.00999999999476131,2945.39990234375,106.66899871826172
BTC-USD,2025-02-25 08:00:00+00:00,89266.65625,89958.46875,89140.734375,89376.8203125,3941507072,0.00999999999476131,2955.199951171875,106.62699890136719
BTC-USD,2025-02-25 09:00:00+00:00,89374.734375,89508.9375,88284.1796875,88284.1796875,1963458560,0.00999999999476131,2953.199951171875,106.62799835205078
BTC-USD,2025-02-25 10:00:00+00:00,88268.3359375,88666.1015625,87190.7734375,88192.28125,6348173312,0.00999999999476131,2950.89990234375,106.6449966430664
BTC-USD,2025-02-25 11:00:00+00:00,88137.5,89292.828125,87651.234375,89198.6328125,3444531200,0.00999999999476131,2952.199951171875,106.49400329589844
BTC-USD,2025-02-25 12:00:00+00:00,89198.71875,89463.6484375,88905.3671875,89261.984375,1959886848,0.00999999999476131,2942.10009765625,106.46099853515625
BTC-USD,2025-02-25 13:00:00+00:00,89238.4765625,89447.3984375,88747.3984375,88818.2109375,2214944768,0.00999999999476131,2950.800048828125,106.38200378417969
BTC-USD,2025-02-25 14:00:00+00:00,88696.40625,89293.6484375,87084.9765625,87084.9765625,1276043264,0.00999999999476131,2946.5,106.3489990234375
BTC-USD,2025-02-25 15:00:00+00:00,87003.078125,87605.53125,86138.2734375,87301.0390625,2926256128,0.00999999999476131,2917.800048828125,106.38999938964844
BTC-USD,2025-02-25 16:00:00+00:00,87122.9140625,87620.515625,86128.4375,87449.515625,3844669440,0.00999999999476131,2908.39990234375,106.40399932861328
BTC-USD,2025-02-25 17:00:00+00:00,87341.5546875,87694.015625,86837.296875,87117.859375,341843968,0.00999999999476131,2920.89990234375,106.35299682617188
BTC-USD,2025-02-25 18:00:00+00:00,87152.171875,87636.265625,86835.734375,86978.6875,31965184,0.00999999999476131,2922.199951171875,106.3219985961914
BTC-USD,2025-02-25 19:00:00+00:00,86978.359375,87924.3828125,86448.5078125,87863.0859375,1868382208,0.00999999999476131,2924.300048828125,106.30799865722656
BTC-USD,2025-02-25 20:00:00+00:00,87816.71875,88873.140625,87594.2734375,88076.6484375,2607030272,0.00999999999476131,2925.5,106.26100158691406
BTC-USD,2025-02-25 21:00:00+00:00,88187.0859375,88637.609375,87775.640625,88598.2109375,0,0.00999999999476131,2928.60009765625,106.28700256347656
BTC-USD,2025-02-25 22:00:00+00:00,88692.203125,89344.90625,88446.0390625,88737.1953125,102842368,0.00999999999476131,N/A,106.29399871826172
BTC-USD,2025-02-25 23:00:00+00:00,88762.703125,89029.0390625,88623.359375,88701.9140625,0,0.00999999999476131,2931.60009765625,106.28399658203125
BTC-USD,2025-02-26 00:00:00+00:00,88491.3359375,88512.78125,88059.8046875,88059.8046875,1410613248,0.00999999999476131,2934.39990234375,106.20099639892578
BTC-USD,2025-02-26 01:00:00+00:00,88054.53125,88711.40625,88054.53125,88691.546875,0,0.00999999999476131,2930.699951171875,106.29399871826172
BTC-USD,2025-02-26 02:00:00+00:00,88609.4140625,89044.21875,88355.8828125,88931.640625,0,0.00999999999476131,2934.5,106.39800262451172
BTC-USD,2025-02-26 03:00:00+00:00,88974.78125,89260.65625,88822.1015625,88822.1015625,133988352,0.00999999999476131,2930.699951171875,106.41300201416016
BTC-USD,2025-02-26 04:00:00+00:00,88797.0390625,89089.84375,88727.5390625,88737.6328125,0,0.00999999999476131,2928.0,106.4800033569336
BTC-USD,2025-02-26 05:00:00+00:00,88609.8515625,88772.2109375,88421.0546875,88421.0546875,0,0.00999999999476131,2928.199951171875,106.51699829101562
BTC-USD,2025-02-26 06:00:00+00:00,88345.0234375,88800.7734375,88345.0234375,88800.7734375,2232434688,0.00999999999476131,2919.60009765625,106.50299835205078
BTC-USD,2025-02-26 07:00:00+00:00,88814.6875,89015.40625,88388.1953125,88659.96875,0,0.00999999999476131,2927.199951171875,106.49600219726562
BTC-USD,2025-02-26 08:00:00+00:00,88641.875,88705.78125,88178.828125,88450.0390625,0,0.00999999999476131,2931.300048828125,106.41500091552734
BTC-USD,2025-02-26 09:00:00+00:00,88422.328125,89208.5078125,88422.328125,89055.546875,0,0.00999999999476131,2925.699951171875,106.46099853515625
BTC-USD,2025-02-26 10:00:00+00:00,89059.828125,89222.5390625,88848.34375,89222.5390625,0,0.00999999999476131,2925.300048828125,106.48999786376953
BTC-USD,2025-02-26 11:00:00+00:00,89193.125,89193.125,88611.8515625,88611.8515625,0,0.00999999999476131,2927.5,106.5250015258789
BTC-USD,2025-02-26 12:00:00+00:00,88550.4609375,88573.2265625,87584.6796875,87811.6484375,0,0.00999999999476131,2927.699951171875,106.64399719238281
BTC-USD,2025-02-26 13:00:00+00:00,87886.1875,87940.3203125,87053.234375,87053.234375,0,0.00999999999476131,2919.300048828125,106.57099914550781
BTC-USD,2025-02-26 14:00:00+00:00,87072.828125,87563.078125,85422.9375,87432.484375,1632796672,0.00999999999476131,2915.199951171875,106.52899932861328
BTC-USD,2025-02-26 15:00:00+00:00,87661.421875,88288.6484375,87374.875,87413.8359375,0,0.00999999999476131,2927.89990234375,106.38999938964844
